File index,Travel time,Path distance,Travel time ratio,Path length ratio,Computation time
0, 20.5, 20.5, 1.0, 1.0, 0.0
1, 22.5, 22.5, 1.0, 1.0, 0.0
10, 19.5, 19.5, 1.0, 1.0, 0.0
11, 27.0, 27.0, 1.0, 1.0, 0.0
12, 24.5, 24.5, 1.0, 1.0, 0.0
13, 23.5, 23.5, 1.0, 1.0, 0.0
14, 22.0, 21.5, 1.0238095238095237, 1.0, 0.0
15, 21.5, 21.5, 1.0, 1.0, 0.0
16, 23.5, 23.5, 1.0, 1.0, 0.0
17, 23.5, 23.5, 1.0, 1.0, 0.0
18, 23.5, 23.5, 1.0, 1.0, 0.0
19, 23.5, 23.5, 1.0, 1.0, 0.0
2, 22.5, 22.5, 1.0, 1.0, 0.0
20, 23.0, 23.0, 1.0, 1.0, 0.0
21, 21.5, 21.5, 1.0, 1.0, 0.0
22, 24.5, 24.5, 1.0, 1.0, 0.0
23, 23.0, 23.0, 1.0, 1.0, 0.0
24, 23.5, 23.5, 1.0, 1.0, 0.0
25, 23.5, 23.5, 1.0, 1.0, 0.0
26, 22.0, 22.0, 1.0, 1.0, 0.0
27, 23.0, 23.0, 1.0, 1.0, 0.0
28, 26.0, 25.5, 1.0217391304347827, 1.0, 0.0
29, 23.0, 23.0, 1.0, 1.0, 0.0
3, 25.0, 25.0, 1.0, 1.0, 0.0
30, 25.0, 25.0, 1.0, 1.0, 0.0
31, 20.5, 20.5, 1.0, 1.0, 0.0
32, 25.0, 25.0, 1.0, 1.0, 0.0
33, 24.5, 24.5, 1.0, 1.0, 0.0005590915679931641
34, 23.0, 23.0, 1.0, 1.0, 0.0005570650100708008
35, 24.0, 24.0, 1.0, 1.0, 0.0005557537078857422
36, 23.5, 23.5, 1.0, 1.0, 0.0005576610565185547
37, 22.5, 22.5, 1.0, 1.0, 0.0
38, 22.0, 22.0, 1.0, 1.0, 0.0
39, 26.0, 26.0, 1.0, 1.0, 0.0
4, 22.0, 22.0, 1.0, 1.0, 0.0
40, 22.5, 22.5, 1.0, 1.0, 0.0
41, 24.0, 24.0, 1.0, 1.0, 0.0
42, 21.5, 21.5, 1.0, 1.0, 0.0
43, 21.0, 21.0, 1.0, 1.0, 0.0
44, 21.5, 21.5, 1.0, 1.0, 0.0
45, 26.0, 26.0, 1.0, 1.0, 0.0
46, 22.5, 22.5, 1.0, 1.0, 0.0
47, 24.0, 24.0, 1.0, 1.0, 0.0
48, 22.0, 22.0, 1.0, 1.0, 0.0
49, 25.5, 25.5, 1.0, 1.0, 0.007809758186340332
5, 24.0, 24.0, 1.0, 1.0, 0.0
50, 23.0, 23.0, 1.0434782608695652, 1.0434782608695652, 0.0
51, 22.5, 22.5, 1.0434782608695652, 1.0434782608695652, 0.0
52, 23.0, 23.0, 1.0, 1.0, 0.0
53, 24.5, 24.5, 1.0, 1.0, 0.0
54, 23.5, 23.5, 1.0, 1.0, 0.0
55, 22.5, 22.5, 1.0, 1.0, 0.0
56, 26.5, 26.5, 1.0, 1.0, 0.0
57, 21.5, 21.5, 1.0, 1.0, 0.0
58, 24.5, 24.5, 1.0, 1.0, 0.0
59, 21.0, 21.0, 1.0, 1.0, 0.0
6, 24.5, 24.5, 1.0, 1.0, 0.0
60, 24.5, 24.5, 1.0, 1.0, 0.007810831069946289
61, 24.0, 23.5, 1.0238095238095237, 1.0, 0.0
62, 24.0, 24.0, 1.0, 1.0, 0.0
63, 24.5, 24.5, 1.0, 1.0, 0.0
64, 24.0, 24.0, 1.0, 1.0, 0.0
65, 24.0, 24.0, 1.0, 1.0, 0.0
66, 20.5, 20.5, 1.0, 1.0, 0.0
67, 21.5, 21.5, 1.0, 1.0, 0.0
68, 24.5, 24.5, 1.0, 1.0, 0.0
69, 23.0, 23.0, 1.0, 1.0, 0.0
